Format = Name, Type, Ra, Dec, I, SpectralIndex, LogarithmicSI, ReferenceFrequency='1280000000.0', MajorAxis, MinorAxis, Orientation
src001, POINT, 04:00:00.000, -30.00.00.000, 0.095, [-0.71], false, 1280000000.0, , ,
src002, POINT, 04:07:55.000, -30.22.44.000, 0.016, [-0.65], false, 1280000000.0, , ,
src003, POINT, 03:58:34.000, -29.51.09.000, 0.037, [-0.82], false, 1280000000.0, , ,
src004, POINT, 04:11:20.000, -30.08.31.000, 0.005, [-0.58], false, 1280000000.0, , ,
src005, POINT, 04:01:48.000, -30.33.57.000, 0.123, [-0.76], false, 1280000000.0, , ,
src006, POINT, 03:55:06.000, -30.17.42.000, 0.010, [-0.69], false, 1280000000.0, , ,
src007, POINT, 04:15:03.000, -29.38.25.000, 0.054, [-0.61], false, 1280000000.0, , ,
src008, POINT, 04:05:39.000, -30.52.13.000, 0.004, [-0.88], false, 1280000000.0, , ,
src009, POINT, 03:59:22.000, -30.04.06.000, 0.019, [-0.73], false, 1280000000.0, , ,
src010, POINT, 04:08:47.000, -29.28.50.000, 0.026, [-0.67], false, 1280000000.0, , ,
src011, POINT, 04:13:31.000, -30.41.22.000, 0.007, [-0.79], false, 1280000000.0, , ,
src012, POINT, 03:56:58.000, -29.55.38.000, 0.067, [-0.55], false, 1280000000.0, , ,
src013, POINT, 04:02:14.000, -30.19.47.000, 0.013, [-0.84], false, 1280000000.0, , ,
src014, POINT, 04:09:42.000, -30.35.04.000, 0.047, [-0.70], false, 1280000000.0, , ,
src015, POINT, 03:57:51.000, -30.44.29.000, 0.003, [-0.63], false, 1280000000.0, , ,
src016, POINT, 04:04:28.000, -29.22.16.000, 0.081, [-0.77], false, 1280000000.0, , ,
src017, POINT, 04:12:05.000, -30.00.53.000, 0.011, [-0.59], false, 1280000000.0, , ,
src018, POINT, 04:00:37.000, -30.27.38.000, 0.023, [-0.86], false, 1280000000.0, , ,
src019, POINT, 04:06:19.000, -29.48.11.000, 0.039, [-0.72], false, 1280000000.0, , ,
src020, POINT, 03:53:44.000, -30.09.24.000, 0.008, [-0.68], false, 1280000000.0, , ,
src021, POINT, 04:14:52.000, -30.18.07.000, 0.052, [-0.81], false, 1280000000.0, , ,
src022, POINT, 04:03:58.000, -29.36.43.000, 0.020, [-0.64], false, 1280000000.0, , ,
src023, POINT, 03:59:09.000, -30.56.01.000, 0.006, [-0.75], false, 1280000000.0, , ,
src024, POINT, 04:10:33.000, -29.13.58.000, 0.033, [-0.60], false, 1280000000.0, , ,
src025, POINT, 04:06:44.000, -30.47.32.000, 0.014, [-0.83], false, 1280000000.0, , ,
